Key,English
buffFireBurnRightHandBandagedDesc,"The burn on your right hand is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightHandNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightHandNeedsAloeBDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightHandHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.1 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftArmNeedsCleansedDesc,"You burnt your left arm. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftArmNeedsAloeDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftArmBandagedDesc,"The burn on your left arm is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftArmNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftArmNeedsAloeBDesc,"You burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnLeftArmHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.1 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightArmNeedsCleansedDesc,"You burnt your right arm. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightArmNeedsAloeDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightArmBandagedDesc,"The burn on your right arm is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightArmNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightArmNeedsAloeBDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnRightArmHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.1 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnStomachNeedsCleansedDesc,"You burnt your stomach. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnStomachNeedsAloeDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.107 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnStomachBandagedDesc,"The burn on your stomach is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnStomachNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnStomachNeedsAloeBDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnStomachHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.1 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnNeckNeedsCleansedDesc,"You burnt your neck. You will need to use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnNeckNeedsAloeDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.1 Health Loss Per Second\n.07 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnNeckBandagedDesc,"The burn on your neck is bandaged and healing, after a while it will need cleansed and bandaged again\n\nEffects:\n.02 Health Loss Per Second\n.02 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnNeckNeedsCleansedBDesc,"Your burn wound needs to be cleaned. Use a [35bd00]Cleansing Wash[-] to clean it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnNeckNeedsAloeBDesc,"Your burn wound is clean and needs a [35bd00]First Aid Bandage[-] to continue healing.  If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n.07 Health Loss Per Second\n.05 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"
buffFireBurnNeckHealingDesc,"Your burn wound is bandaged. Try not to hurt it so it will heal\n\nEffects:\n.1 Health Loss Per Second\n.01 Water Loss Per Second\n-4 Hypothermal Resist\n4 Hyperthermal Resist"

BLOCK_________________________XML,BLOCK_________________________XML
questitemTraderSupplies,"Lost Trader Supplies"
cntStorageGenericSignedDesc,"A very large lockable crate that can be written on. Press & hold [action:local:Activate][action:permanent:Activate] to lock it, set a combination or change the writing on the box.\n\nWeight   5"
plantedCorn3HarvestPlayerDesc,"Corn(Grown)"
SimpleWoodFrame,"Simple Wooden Frame"
SimpleWoodRampFrame,"Simple Wooden Ramp Frame"
SimpleCobblestoneFrame,"Simple Cobblestone Frame"
SimpleCobblestoneRampFrame,"Simple Cobblestone Ramp Frame"
SimpleConcreteFrame,"Simple Concrete Frame"
SimpleConcreteRampFrame,"Simple Concrete Ramp Frame"
SimpleIronFrame,"Simple Iron Ramp Frame"
SimpleIronRampFrame,"Simple Iron Ramp Frame"
workstationKitchenWorkbench,"Kitchen"
kitchenWorkbenchDesc,"Everything needed to store and cook large healthy meals\n\nWeight   25"
ovenDesc,"A repaired oven that can be used to cook better foods than the Campfire\n\nWeight   25"
corrugatedMetalShapes:VariantHelper,"Iron Shapes"
SimpleLogBlock,"Simple Log Block"
simpleLogBlockDesc,"Fresh Timber sealed with clay. Not the strongest block but it’s a start"
SimpleIronFrame,"Simple Iron Cube Frame"
SimpleIronRampFrame,"Simple Iron Ramp Frame"
ImprovisedCampfireDesc,"An improvised Campfire for cooking and keeping warm\n\nWeight   25"
SimpleConcreteShapesBlock,"Simple concrete Frame Shapes"
simpleConcreteShapesBlockDesc,"Basic concrete block frame shapes"
SimpleCobblestoneShapesBlock,"Simple cobblestone Frame Shapes"
simpleCobblestoneShapesBlockDesc,"Basic cobblestone block frame shapes"
simpleBrickShapesBlockDesc,"Basic brick block frame shapes"
SimpleIronShapesBlock,"Simple Iron Frame Shapes"
simpleIronShapesBlockDesc,"Basic Iron Frame shapes"
SimpleWoodShapesBlock,"Simple Wood Frame Shapes"
simpleWoodShapesBlockDesc,"Basic Wood block frame shapes"
refrigeratorGroupDesc,"A modern refrigerator, its seen better days but will still do a good job of stopping perishable goods from spoiling when used for storage.\n\nWeight   150"
cntCoolerClosedDesc,"A well insulated Cooler that can be used to store and slow the spoiling of perishable goods.\n\nWeight   10"
trapSpikesIronDmg0Dec,"Iron Pipes sharpened and bolted together.\n\nRepair with Iron Pipes using a Wrench"
zombieLoot,"Zombie Corpse"
questitemSatRadioStation,"Satellite Radio"
questitemSatRadioStationDesc,"A crudely crafted device capable of sending and receiving communications with satellites."
questitemHospitalLabStation,"Tissue Testing Station"
questitemHospitalLabStationDesc,"All the equipment needed to analyze tissue samples."
questitemMilitarySecurityStation,"Security Card Scanner"
workstationDryingRack,Drying Rack
dryingRackDesc,"A simple workstation used for drying Skins, Firewood and creating Seeds from crops.\n\nWeight   25"
workstationStoneMill,Stone Mill
StoneMillDesc,"Large flat stones used to grind objects into powder.\n\nWeight   25"
workstationMortarAndPestle,Mortar & Pestle
MortarAndPestle1Desc,"A small stone workstation that can be placed and used to grind chemicals and medical items. It can also be used as a tool in the Chemistry Station\n\nWeight   5"
workstationFermentationBarrel,Fermentation Barrel
fermentationBarrelDesc,"A simple workstation used to ferment beer and mead.\n\nWeight   25"
workstationMethaneProducer,Methane Producer
methaneProducerDesc,"A homemade system for capturing methane from rotting material. Can refill old propane tanks to use as bombs.\n\nWeight   25"
explosivesMethaneTankBomb,Methane Bomb
methaneTankBombDesc,"A old propane tank filled with methane. Place on the ground and shoot to cause a large explosion that does no damage to blocks.\n\nWeight   25"
plantedCropsGroupDesc,"Plant these seeds on soil or a Farm Plot to grow crops to harvest. Protect your crops from zombie and animals or they can be trampled and destroyed. Use the Watering Can to add Fertilizer to the planted seed to increase crop yield. The Watering Can can to water dry plants with Ounces of Dirty Water"
plantedTreeGroupDesc,"Plant these seeds on soil to grow trees to harvest. Protect your crops from zombie and animals or they can be trampled and destroyed. Use the Watering Can to add Fertilizer to the planted seed to increase crop yield. The Watering Can can also be used to water dry plants with Ounces of Dirty Water"
workstationSurvivorComputer, "Starting Options"
workstationSurvivorComputerDesc,"Immediately place on the ground and use to chose your players starting stats and knowledge"
trapWoodenSpikeStarter,Spike Trap Starter
setUpASpikeTrapDesc,"Place and upgrade with Sticks using a Stoneaxe to build a Spike Trap. Repair with Sticks.\n\nWeight   1"
cntStorageSatchel,"Storage Sack"
storageSackDesc,"A basic storage container with no lock\n\nWeight   10"
decorGoreBlockHumanBones,"Decaying Body"
decorGoreBlockHumanBones2,"Decaying Body"
decorGoreBlockHumanBones3,"Decaying Body"
decorGoreBlockHumanBones4,"Decaying Body"
decorGoreBlockHumanBones5,"Decaying Body"
decorGoreBlockHumanBones6,"Decaying Body"
decorGoreBlockHumanBones7,"Decaying Body"
decorGoreBlockHumanBones8,"Decaying Body"
decorGoreBlockHumanBones9,"Decaying Body"
decorGoreBlockHumanBonesA,"Decaying Body"
decorGoreBlockHumanBones10,"Decaying Body"
vehicleBulldozer,Bulldozer
vehicleCaprise,Abandoned Vehicle
vehicleForkLift,Fork Lift
vehicleGarbageTruck,Garbage Truck
vehicleHotRod,Abandoned Vehicle
vehicleLingo,Abandoned Vehicle
vehicleLovo,Abandoned Vehicle
vehiclePassied,Abandoned Vehicle
vehiclePickup,Abandoned Vehicle
vehiclePolice,Police Car
vehicleVan,Abandoned Vehicle
vehicleRustyVan,Abandoned Vehicle
vehicleTaxi,Taxi
vehicleTowTruck,Tow Truck
vehicleTractor,Tractor
vehicleTVVan,TV Van
vehicleWhiteCar,Abandoned Vehicle
vehicleWreckedPassied,Abandoned Vehicle
vehicleWreckedCar,Abandoned Vehicle
vehicleBigRigWhite,Big Rig
vehicleOpen18Wheeler,Trailer
vehicleCementTruck,Cement Truck
vehicleCoolerTrailer,Big Rig
vehicleFlatBed,Flat Bed
vehicleBigRigRed,Big Rig
vehicleWreckedBigRigCab,Big Rig
vehicleWreckedRigTrailer,Big Rig
vehicleBuggy,Abandoned Vehicle
vehicleWreckedCarRed,Abandoned Vehicle
vehicleWreckedCarBrown,Abandoned Vehicle
vehicleWreckedCarBlue,Abandoned Vehicle
vehicleWreckedCarGreen,Abandoned Vehicle
vehicleWreckedCarBlack,Abandoned Vehicle
vehicleVanRed,Abandoned Vehicle
vehicleVanBrown,Abandoned Vehicle
vehicleVanBlue,Abandoned Vehicle
vehicleVanGreen,Abandoned Vehicle
vehicleVanBlack,Abandoned Vehicle
vehiclePassiedRed,Abandoned Vehicle
vehicleWreckedPassiedRed,Abandoned Vehicle
vehiclePassiedBrown,Abandoned Vehicle
vehicleWreckedPassiedBrown,Abandoned Vehicle
vehiclePassiedBlue,Abandoned Vehicle
vehicleWreckedPassiedBlue,Abandoned Vehicle
vehiclePassiedGreen,Abandoned Vehicle
vehicleWreckedPassiedGreen,Abandoned Vehicle
vehiclePassiedBlack,Abandoned Vehicle
vehicleWreckedPassiedBlack,Abandoned Vehicle
vehicleLovoRed,Abandoned Vehicle
vehicleLovoBrown,Abandoned Vehicle
vehicleLovoBlue,Abandoned Vehicle
vehicleLovoGreen,Abandoned Vehicle
vehicleLovoBlack,Abandoned Vehicle
vehicleLingoRed,Abandoned Vehicle
vehicleLingoBrown,Abandoned Vehicle
vehicleLingoBlue,Abandoned Vehicle
vehicleLingoGreen,Abandoned Vehicle
vehicleLingoBlack,Abandoned Vehicle
vehicleNiceCar,Abandoned Vehicle
vehicleNiceCarRed,Abandoned Vehicle
vehicleNiceCarBrown,Abandoned Vehicle
vehicleNiceCarBlue,Abandoned Vehicle
vehicleNiceCarGreen,Abandoned Vehicle
vehicleNiceCarBlack,Abandoned Vehicle
vehicleBus,Abandoned Buss
vehicleTankLocked,Locked Tank
vehicleWreckedTanker,Abandoned Tanker
vehicleTank2Locked,Locked Tank
vehicleAPCLocked,Locked APC
vehicleApacheLocked,Locked Apache
vehicleHeliLocked,Locked Heli
vehicleBusBroken,Abandoned Buss
decoWaterBottle,Water Bottle
foodChips,Chips
vehicleTank,Tank
vehicleTank2,Tank
vehicleWreckedTank,Tank
vehicleAPC,APC
vehicleCrashedApache,Apache
vehicleApache,Apache
vehicleHeli,Heli
vehicleCrashedHeli,Heli
plantedChrysanthemum1DryDesc,"Chrysanthemum Sprout(Dry)"
plantedChrysanthemum2DryDesc,"Chrysanthemum(Dry)"
plantedChrysanthemumFertilized1,"Fertilized Chrysanthemum(Seed)"
plantedChrysanthemumFertilized1DryDesc,"Fertilized Chrysanthemum Sprout(Dry)"
plantedChrysanthemumFertilized2,"Fertilized Chrysanthemum(Growing)"
plantedChrysanthemumFertilized2DryDesc,"Fertilized Chrysanthemum(Dry)"
plantedChrysanthemumFertilized3HarvestPlayerDesc,"Fertilized Chrysanthemum(Grown)"
plantedAloe1DryDesc,"Aloe Sprout(Dry)"
plantedAloe2Dry,"Aloe(Dry)"
plantedAloeFertilized1,"Fertilized Aloe(Seed)"
plantedAloeFertilized1DryDesc,"Fertilized Aloe Sprout(Dry)"
plantedAloeFertilized2,"Fertilized Aloe(Growing)"
plantedAloeFertilized2DryDesc,"Fertilized Aloe(Dry)"
plantedAloeFertilized3HarvestPlayerDesc,"Fertilized Aloe(Grown)"
plantedCoffee1DryDesc,"Coffee Sprout(Dry)"
plantedCoffee2DryDesc,"Coffee(Dry)"
plantedCoffeeFertilized1,"Fertilized Coffee(Seed)"
plantedCoffeeFertilized1DryDesc,"Fertilized Coffee Sprout(Dry)"
plantedCoffeeFertilized2,"Fertilized Coffee(Growing)"
plantedCoffeeFertilized2DryDesc,"Fertilized Coffee(Dry)"
plantedCoffeeFertilized3HarvestPlayerDesc,"Fertilized Coffee(Grown)"
plantedCorn1DryDesc,"Corn Sprout(Dry)"
plantedCorn2DryDesc,"Corn(Dry)"
plantedCornFertilized1,"Fertilized Corn(Seed)"
plantedCornFertilized1DryDesc,"Fertilized Corn Sprout(Dry)"
plantedCornFertilized2,"Fertilized Corn(Growing)"
